File;Image ID;Objects ch1;Mean size in ch1;Mean surface in ch1;Mean length in ch1;Objects ch2;Mean size in ch2;Mean surface in ch2;Mean length in ch2;Colocalization ch1 in ch2 (signal based);Colocalization ch2 in ch1 (signal based);Colocalization ch1 in ch2 (size based);Colocalization ch2 in ch1 (size based);Colocalization ch1 in ch2 (objects numbers);Colocalization ch2 in ch1 (objects numbers);Mean ch2 intensity of ch1 objects;Mean ch1 intensity of ch2 objects;Pearson correlation;Pearson correlation inside cell masks
%Parameters: background removal  true window size 50 stddev PSF xy  0.63 stddev PSF z  1.0 Regularization 0.2 0.02 Min intensity ch1 0.03 Min intensity ch2 0.06 subpixel false Cell mask ch1 false mask threshold ch1 0.0015 Cell mask ch2 false mask threshold ch2 0.0015 Intensity estimation Automatic Noise model Poisson;
4 OA1.tif;0;5;83.8;38.6;7.0;22;5.2272;9.4545;2.1363;0.0604;0.2546;0.0592;0.2173;0.0;0.0454;0.0214;0.0475;0.0644;0.0644
3 Ctrl3.tif;1;11;15.8181;17.0;2.909;20;15.8;18.45;4.65;0.0746;0.0443;0.1033;0.0568;0.0909;0.0;0.0631;0.0255;0.0161;0.0161
2 OA1.tif;2;13;192.6923;54.5384;11.1538;15;46.0;32.4;5.8666;0.0274;0.0768;0.0233;0.0854;0.0;0.1333;0.0052;0.0677;-0.0561;-0.0561
3 Ctrl2.tif;3;4;36.75;29.0;6.25;17;15.2941;17.8823;2.4705;0.0;0.0;0.0;0.0;0.0;0.0;0.0216;0.0033;-0.048;-0.048
1 Ctrl 2.tif;4;17;23.5294;18.7058;4.3529;28;15.7857;17.8214;4.1071;0.1596;0.1092;0.1345;0.122;0.0588;0.0714;0.045;0.0873;-0.0649;-0.0649
1 Ctrl 1.tif;5;10;161.8;52.2;15.6;17;9.1176;13.2941;2.5294;0.0235;0.1334;0.0208;0.2192;0.0;0.2352;0.0025;0.0832;-0.0169;-0.0169
2 OA2.tif;6;10;314.8;63.9;12.8;10;34.4;27.8;5.7;0.0013;0.014;0.0012;0.0115;0.0;0.0;0.0020;0.0088;-0.0945;-0.0945
3 Ctrl1.tif;7;3;33.6666;25.0;4.6666;6;24.1666;23.0;4.8333;0.0104;0.0057;0.0096;0.0068;0.0;0.0;0.0428;0.0117;0.0508;0.0508
2 OA4.tif;8;12;281.5;69.1666;11.1666;8;15.875;17.25;2.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0010;0.0185;-0.0331;-0.0331
4 OA3.tif;9;6;112.1666;47.5;12.6666;8;15.25;17.0;3.875;0.091;0.5999;0.0936;0.5163;0.0;0.125;0.0346;0.0862;0.2223;0.2223
4 OA4.tif;10;6;27.1666;19.5;4.8333;15;3.3333;7.5333;1.6666;0.0152;0.0632;0.0117;0.04;0.0;0.1333;0.0072;0.0999;0.0233;0.0233
1 Ctrl 3.tif;11;13;65.3076;31.5384;8.6923;23;14.4347;17.826;3.826;0.0592;0.1083;0.0585;0.1503;0.0;0.0434;0.0231;0.0818;-0.0719;-0.0719
